x y
0 0
-5.015 7.77
-3.75 7.77
-5.015 5.796
-3.75 5.796
-5.015 3.57
-3.75 3.57
-2.98 7.51
-2.05 7.51
-2.98 6.37
-2.05 6.37
-2.98 4.91
-2.055 4.914001
-2.98 3.774
-2.055 3.774
-1.05 7.75
0.235 7.75
-1.05 5.81
0.235 5.81
-1.05 3.711
0.235 3.711
-4.71 9.16
-3.96 9.16
-5.718 2.167
-5.283 2.167
-4.879 2.167
-4.487 2.167
-4.099 2.167
-3.735 2.167
-5.4 8.628
-4.71 8.628
-3.96 8.628
-3.466 8.628
-1.477 8.628
0.726 8.628
-5.4 7.77
-3.466 7.77
-1.477 7.75
0.726 7.75
-3.466 7.51
-1.477 7.5
-5.37 6.96
-3.466 6.96
-1.477 6.98
0.726 6.98
-3.466 6.37
-1.477 6.38
-5.4 5.796
-3.466 5.796
-1.477 5.8
0.726 5.81
-5.37 4.91
-3.466 4.91
-1.47 4.914001
0.726 4.914001
-3.466 3.774
-1.477 3.711
-5.4 3.57
-3.466 3.57
-1.477 3.774
0.726 3.711
-5.718 2.464
-5.4 2.464
-5.283 2.464
-4.879 2.464
-4.487 2.464
-4.099 2.464
-3.735 2.464
-3.466 2.464
-1.477 2.464
-1.26 2.464
0 2.464
0.726 2.464
-1.26 0.55
